Year,Ranking,Artist,Location,Genre
2021,1,Drake,CA,hip hop
2021,2,Olivia Rodrigo,US,
2021,3,The Weeknd,CA,
2021,4,Taylor Swift,US,pop
2021,5,Morgan Wallen,US,
2021,6,Ariana Grande,US,
2021,7,Doja Cat,US,
2021,8,Justin Bieber,CA,
2021,9,Luke Combs,US,
2021,10,Pop Smoke,US,
2021,11,Dua Lipa,GB,
2021,12,BTS,KR,
2021,13,Billie Eilish,US,
2021,14,Lil Baby,US,
2021,15,The Kid LAROI,AU,
2021,16,Bad Bunny,PR,
2021,17,Lil Durk,US,
2021,18,Polo G,US,
2021,19,Lil Nas X,US,
2021,20,Juice WRLD,US,
2021,21,Megan Thee Stallion,US,
2021,22,Rod Wave,US,
2021,23,DaBaby,US,
2021,24,Kanye West,US,
2021,25,Moneybagg Yo,US,
2021,26,Post Malone,US,
2021,27,Chris Stapleton,US,
2021,28,Ed Sheeran,GB,
2021,29,J. Cole,US,
2021,30,Harry Styles,GB,
2021,31,YoungBoy Never Broke Again,US,
2021,32,Giveon,US,
2021,33,SZA,US,
2021,34,Young Thug,US,
2021,35,Cardi B,US,
2021,36,Jack Harlow,US,
2021,37,Lil Uzi Vert,US,
2021,38,Glass Animals,GB,
2021,39,Bruno Mars,US,
2021,40,Gabby Barrett,US,
2021,41,Machine Gun Kelly,US,
2021,42,Pooh Shiesty,,
2021,43,Future,US,
2021,44,Travis Scott,US,
2021,45,24kGoldn,US,
2021,46,Lil Tjay,US,
2021,47,Eminem,US,hip hop
2021,48,Roddy Ricch,US,
2021,49,Luke Bryan,US,
2021,50,Kendrick Lamar,US,
2021,51,Walker Hayes,US,
2021,52,Masked Wolf,,
2021,53,"Tyler, The Creator",US,
2021,54,Dan + Shay,US,
2021,55,Fleetwood Mac,GB,
2021,56,Thomas Rhett,US,
2021,57,Chris Brown,US,hip hop
2021,58,AJR,US,
2021,59,The Beatles,GB,
2021,60,Kid Cudi,US,
2021,61,H.E.R.,FR,
2021,62,DJ Khaled,US,
2021,63,Florida Georgia Line,US,
2021,64,Gunna,US,
2021,65,Anderson .Paak,US,
2021,66,Khalid,US,
2021,67,Maroon 5,US,pop
2021,68,Lewis Capaldi,GB,
2021,69,Queen,GB,
2021,70,Ava Max,US,
2021,71,Tate McRae,CA,
2021,72,Jason Aldean,US,
2021,73,Kane Brown,US,
2021,74,Migos,US,
2021,75,Elton John,GB,
2021,76,Carrie Underwood,US,
2021,77,King Von,,
2021,78,Saweetie,US,
2021,79,Michael Jackson,US,
