key,artist,song,duration_ms,length,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,Cleaned genre,Location
Attribute,Britney Spears,Oops!...I Did It Again,211160,3.31,FALSE,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77E-05,0.355,0.894,95.053,pop,pop,US
Attribute,blink-182,All The Small Things,167066,2.47,FALSE,1999,79,0.434,0.897,0,-4.918,1,0.0488,0.0103,0,0.612,0.684,148.726,"rock, pop",rock,US
Attribute,Bon Jovi,It's My Life,224493,3.44,FALSE,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35E-05,0.347,0.544,119.992,"rock, metal",rock,US
Attribute,Sisqo,Thong Song,253733,4.14,TRUE,1999,69,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64E-05,0.07,0.714,121.549,"hip hop, pop, R&B",hip hop,US
Attribute,Eminem,The Real Slim Shady,284200,4.44,TRUE,2000,86,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,hip hop,hip hop,US
Attribute,Destiny's Child,Say My Name,271333,4.31,FALSE,1999,75,0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,"pop, R&B",pop,US
Attribute,Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,268863,4.29,FALSE,1999,56,0.745,0.958,7,-9.664,1,0.0287,0.0813,0.324,0.533,0.96,129.962,pop,pop,IT
Attribute,Sting,Desert Rose,285960,4.46,FALSE,1999,62,0.586,0.659,0,-7.92,0,0.0304,0.011,0,0.106,0.147,111.989,"rock, pop",rock,GB
Attribute,Anastacia,I'm Outta Love - Radio Edit,245400,4.05,FALSE,1999,64,0.761,0.716,10,-5.8,0,0.056,0.396,0,0.0771,0.649,119.41,pop,pop,US
Attribute,Gigi D'Agostino,The Riddle,285426,4.45,FALSE,1999,64,0.74,0.876,6,-6.87,0,0.0369,0.0173,0.00152,0.0785,0.825,127.002,pop,pop,IT
Attribute,Dr. Dre,The Next Episode,161506,2.42,TRUE,1999,82,0.922,0.909,10,-2.429,0,0.27,0.0281,0,0.0856,0.309,95.295,hip hop,hip hop,US
Attribute,Linkin Park,In the End,216880,3.37,FALSE,2000,83,0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,"rock, metal",rock,US
Attribute,Britney Spears,Born to Make You Happy,243533,4.04,FALSE,1999,58,0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11,pop,pop,US
Attribute,Kylie Minogue,Spinning Around,207866,3.28,FALSE,2000,55,0.761,0.662,6,-7.645,0,0.0548,0.292,6.19E-05,0.0956,0.631,120.043,"pop, Dance/Electronic",pop,AU
Attribute,Enrique Iglesias,Be With You,219360,3.39,FALSE,1999,54,0.683,0.866,1,-5.436,0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,"pop, latin",pop,ES
Attribute,Backstreet Boys,Show Me the Meaning of Being Lonely,234960,3.55,FALSE,1999,68,0.63,0.625,6,-5.088,0,0.0252,0.231,0,0.0765,0.683,167.998,pop,pop,US
Attribute,Jagged Edge,He Can't Love U,244053,4.04,FALSE,2000,55,0.721,0.836,8,-3.972,0,0.206,0.112,0,0.235,0.508,126.279,"hip hop, pop, R&B",hip hop,GB
Attribute,P!nk,Most Girls,298960,4.59,FALSE,2000,52,0.742,0.732,2,-6.046,0,0.0311,0.0424,0.00446,0.101,0.694,97.922,pop,pop,US
Attribute,Craig David,Fill Me In,257200,4.17,FALSE,2000,60,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B",hip hop,GB
Attribute,Red Hot Chili Peppers,Otherside,255373,4.15,FALSE,1999,78,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,rock,rock,US
Attribute,Santana,Maria Maria (feat. The Product G&B),261973,4.22,FALSE,1999,66,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,"rock, blues, latin",rock,US
Attribute,P!nk,There You Go,202800,3.23,FALSE,2000,55,0.822,0.847,10,-6.729,0,0.0917,0.0854,0,0.0452,0.668,107.908,pop,pop,US
Attribute,Ronan Keating,Life Is A Rollercoaster,234826,3.55,FALSE,2000,59,0.655,0.791,0,-8.923,1,0.0302,0.1,0.000124,0.334,0.862,118.981,"pop, rock",pop,IE
Attribute,Destiny's Child,"Independent Women, Pt. 1",221133,3.41,FALSE,2001,65,0.73,0.602,6,-3.782,0,0.206,0.362,3.69E-06,0.169,0.927,97.954,"pop, R&B",pop,US
Attribute,Nelly,Country Grammar (Hot Shit),287000,4.47,TRUE,2000,68,0.865,0.664,2,-6.822,1,0.108,0.00689,0,0.142,0.565,162.831,"hip hop, pop, R&B",hip hop,US
Attribute,Destiny's Child,Survivor,254026,4.14,FALSE,2001,70,0.514,0.911,1,-2.027,0,0.41,0.0559,0,0.775,0.619,161.109,"pop, R&B",pop,US
Attribute,Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,4.25,FALSE,2001,68,0.76,0.801,5,-3.769,1,0.0534,0.0144,1.49E-05,0.665,0.653,109.919,pop,pop,US
Attribute,Shakira,"Whenever, Wherever",196160,3.16,FALSE,2001,74,0.794,0.832,1,-4.862,0,0.0407,0.237,1.14E-05,0.203,0.871,107.657,"pop, latin",pop,CO
Attribute,Britney Spears,I'm a Slave 4 U,203600,3.24,FALSE,2001,69,0.847,0.843,5,-3.579,0,0.106,0.415,0.000134,0.107,0.963,110.027,pop,pop,US
Attribute,Missy Elliott,One Minute Man (feat. Ludacris),252986,4.13,TRUE,2001,57,0.622,0.669,9,-8.419,1,0.329,0.0266,2.97E-06,0.152,0.57,93.839,"hip hop, pop, R&B",hip hop,US
Attribute,Blue,All Rise,223546,3.44,FALSE,2001,63,0.721,0.737,5,-2.734,0,0.0324,0.121,0,0.165,0.931,97.996,pop,pop,GB
Attribute,Jessica Simpson,Irresistible,194026,3.14,FALSE,2001,43,0.657,0.965,8,-2.771,0,0.0556,0.0285,8.84E-05,0.0552,0.669,93.013,"pop, R&B",pop,US
Attribute,Nickelback,How You Remind Me,223840,3.44,FALSE,2001,78,0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,"rock, metal",rock,CA
Attribute,Daft Punk,One More Time,320357,5.2,FALSE,2001,76,0.613,0.697,2,-8.618,1,0.133,0.0194,0,0.332,0.476,122.746,"hip hop, Dance/Electronic",hip hop,FR
Attribute,Outkast,Ms. Jackson,270506,4.31,TRUE,2000,82,0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,"hip hop, pop",hip hop,US
